Material_ID,slope
1,-112.5266075867312
2,-137.8436378010335
3,-127.49288756869049
4,-109.80437986061897
5,-97.67748420441711
6,-114.72533660049082
7,-62.40952399816879
8,-71.56304403161505
9,-133.8864899262317
10,-146.64777658740428
11,-144.38170542343403
12,-151.4330233590502
13,-159.97597086780644
14,-217.4735096019365
15,-212.3171127341601
16,-102.25674238634559
17,-118.14993042764685
18,-130.8122136701848
19,-144.37267416364816
20,-169.18200920903718
21,-117.38746770423387
22,-125.7068760743802
23,-134.60341216917155
24,-153.50160809088712
25,-169.1571525425836
26,-187.68600728174368
27,-199.40568330371684
28,-146.10952394992194
29,-154.39243343070163
30,-136.32311323054435
31,-136.78147994090207
32,-219.57550358823755
33,-169.1571525425836
34,-187.68600728174368
35,-133.22449496690297
36,-165.59527041108387
37,-172.94402311501383
38,-167.80159150690164
39,-160.8515649643405
40,-88.06114414906152
41,-77.22652996145095
42,-128.05661788419445
43,-145.77431498512487
44,-142.9958500889427
45,-151.49799869956072
46,-167.4102640682181
47,-161.68644139314688
48,-164.76118332614254
49,-162.29255746635246
50,-120.81727409893188
51,-119.07354868572965
52,-82.8652340637401
53,-90.91789043021564
54,-100.61172362512436
55,-102.31276897473013
56,-100.63229778074965
57,-103.84016644949419
58,-105.30062745328866
59,-109.29606532335477
60,-116.5905195534719
61,-125.05136081547369
62,-126.83912020287804
63,-144.8802391373752
64,-144.34816916190283
65,-101.14911120331368
66,-110.09857877021555
67,-70.93561310000749
68,-76.34967142651625
69,-22.133852845130328
70,-160.39089322821195
71,-13.79573573760822
72,-157.9414243959123
73,-141.57671081279065
74,-70.54915646013757
75,-67.30210801475451
76,-63.0342959775406
77,-138.93024669564596
78,-142.9958500889427
79,-151.49799869956072
80,-166.9965018015338
81,-165.59527041108387
82,-13.79573573760822
83,-33.454393811011265
84,-40.37232017398797
85,-74.07991168235375
86,-98.50865507048469
87,-117.38746770423387
88,-134.60341216917155
89,-78.92607749450835
90,-73.77203395988148
91,-32.97177844153311
92,-54.88928584936313
93,-160.6578278435136
94,-133.22449496690297
95,-133.51835644147857
96,-149.6045139496079
97,-184.05031186531414
98,-181.73457987153333
99,-193.05805455601205
100,-189.88090652501504
101,-124.1294645551618
102,-203.3764004556374
103,-119.02476154702053
104,-121.14663464360423
105,-100.88340995961259
106,-111.29523443138555
107,-99.33593953130226
108,-154.81373232742882
109,-165.7426139122023
110,-162.95161148393018
111,-146.3821574612003
112,-170.1456524289708
113,-176.31905193747582
114,-161.9140333096171
115,-145.09149940257853
116,-127.30999486321203
117,-111.07416143934358
118,-132.49642012177097
119,-109.77513862376657
120,-115.52278466787523
121,-134.89981372674742
122,-133.39405870128405
123,-139.96513062578174
124,-156.28280936135664
125,-140.77078963194478
126,-131.193747557054
127,-131.70088317538247
128,-172.12005634878355
129,-151.71713428494692
130,-131.75981836123793
131,-111.20691158329315
132,-90.52802873484896
133,-69.41090420493241
134,-129.06183754467745
135,-105.13265987868284
136,-132.64830961268672
137,-125.04728040651277
138,-154.7812972119427
139,-136.94222048879783
140,-97.92258277725458
141,-71.64792198212213
142,-110.65101878463464
143,-121.96568416293574
144,-118.57032466789431
145,-129.22772402161664
146,-131.5600557354832
147,-138.95998753214604
148,-136.43583868845337
149,-93.32737371995354
150,-97.80473071139305
151,-100.98387531731511
152,-103.58128082559303
153,-117.45823858740086
154,-128.62692645819595
155,-157.6370106501652
156,-166.87541220601548
157,-169.87889002408875
158,-178.75614301212096
159,-14.788419771906316
160,-53.87463557673141
161,-69.04741415266625
162,-68.0175185175245
163,-67.69379976659508
164,-78.27352273522476
165,-85.64840184099327
166,-83.49677184663547
167,-92.80235470958094
168,-91.43991984822927
169,-138.39737522085204
170,-127.43245628616347
171,-122.95861981360494
172,-197.11073888495343
173,-105.06446088354112
174,-96.75835313732564
175,-120.17278836120569
176,-149.02707458524574
177,-115.4966767171409
178,-119.63902746966171
179,-139.28901589224336
180,-122.02852922438599
181,-132.68967172400366
182,-119.62678292565555
183,-149.8559065167425
184,-122.30819398516924
185,-161.7945562432218
186,-193.80855565748456
187,-145.44517332169642
188,-132.5239794660762
189,-130.20112176016872
190,-109.10705533742883
191,-132.38893256316734
192,-147.49960459586626
193,-137.28299547650994
194,-186.85640583549178
195,-190.65555248161826
196,-196.59817665317527
197,-196.94996178145072
198,-198.72905706114636
199,-197.2010977608774
200,-80.45155480267113
201,-78.02753103666815
202,-73.85161755926345
203,-82.17185605706733
204,-192.02567346019467
