Material_ID,Cp1_residual,Cp2_residual
1,9211.400000000023,1669.0
2,9211.400000000023,1669.0
3,9211.400000000023,1669.0
4,9211.400000000023,1669.0
5,9211.400000000023,1669.0
6,9211.400000000023,1669.0
7,9211.400000000023,1669.0
8,9211.400000000023,1669.0
9,9211.400000000023,1669.0
10,9211.400000000023,1669.0
11,5968.099999999977,9812.655400000047
12,5968.099999999977,9812.655400000047
13,5968.099999999977,9812.655400000047
14,5968.099999999977,9812.655400000047
15,5968.099999999977,9812.655400000047
16,5968.099999999977,9812.655400000047
17,5968.099999999977,9812.655400000047
18,5968.099999999977,9812.655400000047
19,5968.099999999977,9812.655400000047
20,5968.099999999977,9812.655400000047
21,6539.599999999977,2829.0
22,6539.599999999977,2829.0
23,6539.599999999977,2829.0
24,6539.599999999977,2829.0
25,6539.599999999977,2829.0
26,6539.599999999977,2829.0
27,6539.599999999977,2829.0
28,6539.599999999977,2829.0
29,6539.599999999977,2829.0
30,6539.599999999977,2829.0
31,-8800.0,-13736.0
32,-8800.0,-13736.0
33,-8800.0,-13736.0
34,-8800.0,-13736.0
35,-8800.0,-13736.0
36,-8800.0,-13736.0
37,-8800.0,-13736.0
38,-8800.0,-13736.0
39,-8800.0,-13736.0
40,-8800.0,-13736.0
41,8028.800000000047,-23242.0
42,8028.800000000047,-23242.0
43,8028.800000000047,-23242.0
44,8028.800000000047,-23242.0
45,8028.800000000047,-23242.0
46,8028.800000000047,-23242.0
47,8028.800000000047,-23242.0
48,8028.800000000047,-23242.0
49,8028.800000000047,-23242.0
50,8028.800000000047,-23242.0
51,-22346.93000000005,3397.0
52,-22346.93000000005,3397.0
53,-22346.93000000005,3397.0
54,-22346.93000000005,3397.0
55,-22346.93000000005,3397.0
56,-22346.93000000005,3397.0
57,-22346.93000000005,3397.0
58,-22346.93000000005,3397.0
59,-22346.93000000005,3397.0
60,-22346.93000000005,3397.0
61,24148.27000000002,-18164.0
62,24148.27000000002,-18164.0
63,24148.27000000002,-18164.0
64,24148.27000000002,-18164.0
65,24148.27000000002,-18164.0
66,24148.27000000002,-18164.0
67,24148.27000000002,-18164.0
68,24148.27000000002,-18164.0
69,24148.27000000002,-18164.0
70,24148.27000000002,-18164.0
71,20097.869999999995,-21054.0
72,20097.869999999995,-21054.0
73,20097.869999999995,-21054.0
74,20097.869999999995,-21054.0
75,20097.869999999995,-21054.0
76,20097.869999999995,-21054.0
77,20097.869999999995,-21054.0
78,20097.869999999995,-21054.0
79,20097.869999999995,-21054.0
80,20097.869999999995,-21054.0
81,39748.19999999995,57067.0
82,39748.19999999995,57067.0
83,39748.19999999995,57067.0
84,39748.19999999995,57067.0
85,39748.19999999995,57067.0
86,39748.19999999995,57067.0
87,39748.19999999995,57067.0
88,39748.19999999995,57067.0
89,39748.19999999995,57067.0
90,39748.19999999995,57067.0
91,44740.19999999995,116920.62159999995
92,44740.19999999995,116920.62159999995
